TIME_PERIOD;GEO;AGE;SEX;Obs_status;Obs_value
2020-W53;CH022;Y20T24;T;P;1
2020-W53;CH022;Y20T24;F;P;1
2020-W53;CH022;Y35T39;T;P;1
2020-W53;CH022;Y35T39;F;P;1
2020-W53;CH022;Y50T54;T;P;2
2020-W53;CH022;Y50T54;M;P;2
2020-W53;CH022;Y55T59;T;P;1
2020-W53;CH022;Y55T59;F;P;1
2020-W53;CH022;Y60T64;T;P;1
2020-W53;CH022;Y60T64;M;P;1
2020-W53;CH022;Y65T69;T;P;1
2020-W53;CH022;Y65T69;M;P;1
2020-W53;CH022;Y70T74;T;P;4
2020-W53;CH022;Y70T74;F;P;2
2020-W53;CH022;Y70T74;M;P;2
2020-W53;CH022;Y75T79;T;P;5
2020-W53;CH022;Y75T79;F;P;2
2020-W53;CH022;Y75T79;M;P;3
2020-W53;CH022;Y80T84;T;P;14
2020-W53;CH022;Y80T84;F;P;8
2020-W53;CH022;Y80T84;M;P;6
2020-W53;CH022;Y85T89;T;P;6
2020-W53;CH022;Y85T89;F;P;2
2020-W53;CH022;Y85T89;M;P;4
2020-W53;CH022;Y_GE90;T;P;11
2020-W53;CH022;Y_GE90;F;P;8
2020-W53;CH022;Y_GE90;M;P;3
2020-W53;CH023;_T;T;P;77
2020-W53;CH023;_T;F;P;36
2020-W53;CH023;_T;M;P;41
2020-W53;CH023;Y40T44;T;P;1
2020-W53;CH023;Y40T44;M;P;1
2020-W53;CH023;Y55T59;T;P;1
2020-W53;CH023;Y55T59;F;P;1
2020-W53;CH023;Y60T64;T;P;1
2020-W53;CH023;Y60T64;M;P;1
2020-W53;CH023;Y65T69;T;P;4
2020-W53;CH023;Y65T69;F;P;1
2020-W53;CH023;Y65T69;M;P;3
2020-W53;CH023;Y70T74;T;P;3
2020-W53;CH023;Y70T74;F;P;1
2020-W53;CH023;Y70T74;M;P;2
2020-W53;CH023;Y75T79;T;P;13
2020-W53;CH023;Y75T79;F;P;7
2020-W53;CH023;Y75T79;M;P;6
2020-W53;CH023;Y80T84;T;P;14
2020-W53;CH023;Y80T84;F;P;7
2020-W53;CH023;Y80T84;M;P;7
2020-W53;CH023;Y85T89;T;P;18
2020-W53;CH023;Y85T89;F;P;9
2020-W53;CH023;Y85T89;M;P;9
2020-W53;CH023;Y_GE90;T;P;22
2020-W53;CH023;Y_GE90;F;P;10
2020-W53;CH023;Y_GE90;M;P;12
2020-W53;CH024;_T;T;P;49
2020-W53;CH024;_T;F;P;23
2020-W53;CH024;_T;M;P;26
2020-W53;CH024;Y30T34;T;P;1
2020-W53;CH024;Y30T34;M;P;1
2020-W53;CH024;Y45T49;T;P;1
2020-W53;CH024;Y45T49;M;P;1
2020-W53;CH024;Y50T54;T;P;3
2020-W53;CH024;Y50T54;F;P;1
2020-W53;CH024;Y50T54;M;P;2
2020-W53;CH024;Y65T69;T;P;2
2020-W53;CH024;Y65T69;F;P;1
2020-W53;CH024;Y65T69;M;P;1
2020-W53;CH024;Y75T79;T;P;5
2020-W53;CH024;Y75T79;F;P;1
2020-W53;CH024;Y75T79;M;P;4
2020-W53;CH024;Y80T84;T;P;7
2020-W53;CH024;Y80T84;F;P;4
2020-W53;CH024;Y80T84;M;P;3
2020-W53;CH024;Y85T89;T;P;15
2020-W53;CH024;Y85T89;F;P;7
2020-W53;CH024;Y85T89;M;P;8
2020-W53;CH024;Y_GE90;T;P;15
2020-W53;CH024;Y_GE90;F;P;9
2020-W53;CH024;Y_GE90;M;P;6
2020-W53;CH025;_T;T;P;12
2020-W53;CH025;_T;F;P;9
2020-W53;CH025;_T;M;P;3
2020-W53;CH025;Y45T49;T;P;1
2020-W53;CH025;Y45T49;M;P;1
2020-W53;CH025;Y60T64;T;P;1
2020-W53;CH025;Y60T64;M;P;1
2020-W53;CH025;Y70T74;T;P;1
2020-W53;CH025;Y70T74;F;P;1
2020-W53;CH025;Y80T84;T;P;1
2020-W53;CH025;Y80T84;F;P;1
2020-W53;CH025;Y85T89;T;P;3
2020-W53;CH025;Y85T89;F;P;3
2020-W53;CH025;Y_GE90;T;P;5
2020-W53;CH025;Y_GE90;F;P;4
2020-W53;CH025;Y_GE90;M;P;1
2020-W53;CH031;_T;T;P;51
2020-W53;CH031;_T;F;P;30
2020-W53;CH031;_T;M;P;21
2020-W53;CH031;Y35T39;T;P;1
2020-W53;CH031;Y35T39;F;P;1
2020-W53;CH031;Y40T44;T;P;1
2020-W53;CH031;Y40T44;M;P;1
2020-W53;CH031;Y45T49;T;P;2
2020-W53;CH031;Y45T49;F;P;1
2020-W53;CH031;Y45T49;M;P;1
2020-W53;CH031;Y60T64;T;P;3
2020-W53;CH031;Y60T64;F;P;2
2020-W53;CH031;Y60T64;M;P;1
2020-W53;CH031;Y65T69;T;P;3
2020-W53;CH031;Y65T69;F;P;1
2020-W53;CH031;Y65T69;M;P;2
2020-W53;CH031;Y70T74;T;P;2
2020-W53;CH031;Y70T74;F;P;1
2020-W53;CH031;Y70T74;M;P;1
2020-W53;CH031;Y75T79;T;P;7
2020-W53;CH031;Y75T79;F;P;4
2020-W53;CH031;Y75T79;M;P;3
2020-W53;CH031;Y80T84;T;P;4
2020-W53;CH031;Y80T84;F;P;3
2020-W53;CH031;Y80T84;M;P;1
2020-W53;CH031;Y85T89;T;P;11
2020-W53;CH031;Y85T89;F;P;6
2020-W53;CH031;Y85T89;M;P;5
2020-W53;CH031;Y_GE90;T;P;17
2020-W53;CH031;Y_GE90;F;P;11
2020-W53;CH031;Y_GE90;M;P;6
2020-W53;CH032;_T;T;P;75
2020-W53;CH032;_T;F;P;40
2020-W53;CH032;_T;M;P;35
2020-W53;CH032;Y30T34;T;P;1
2020-W53;CH032;Y30T34;M;P;1
2020-W53;CH032;Y40T44;T;P;1
2020-W53;CH032;Y40T44;M;P;1
2020-W53;CH032;Y45T49;T;P;1
2020-W53;CH032;Y45T49;F;P;1
2020-W53;CH032;Y60T64;T;P;1
2020-W53;CH032;Y60T64;M;P;1
2020-W53;CH032;Y65T69;T;P;6
2020-W53;CH032;Y65T69;M;P;6
2020-W53;CH032;Y70T74;T;P;2
2020-W53;CH032;Y70T74;F;P;1
2020-W53;CH032;Y70T74;M;P;1
2020-W53;CH032;Y75T79;T;P;7
2020-W53;CH032;Y75T79;F;P;5
2020-W53;CH032;Y75T79;M;P;2
2020-W53;CH032;Y80T84;T;P;13
2020-W53;CH032;Y80T84;F;P;6
2020-W53;CH032;Y80T84;M;P;7
2020-W53;CH032;Y85T89;T;P;19
2020-W53;CH032;Y85T89;F;P;10
2020-W53;CH032;Y85T89;M;P;9
2020-W53;CH032;Y_GE90;T;P;24
2020-W53;CH032;Y_GE90;F;P;17
2020-W53;CH032;Y_GE90;M;P;7
2020-W53;CH033;_T;T;P;147
2020-W53;CH033;_T;F;P;77
2020-W53;CH033;_T;M;P;70
2020-W53;CH033;Y0T4;T;P;1
2020-W53;CH033;Y0T4;F;P;1
2020-W53;CH033;Y15T19;T;P;1
2020-W53;CH033;Y15T19;M;P;1
2020-W53;CH033;Y20T24;T;P;1
2020-W53;CH033;Y20T24;F;P;1
2020-W53;CH033;Y45T49;T;P;1
2020-W53;CH033;Y45T49;F;P;1
2020-W53;CH033;Y50T54;T;P;1
2020-W53;CH033;Y50T54;M;P;1
2020-W53;CH033;Y55T59;T;P;3
2020-W53;CH033;Y55T59;F;P;2
2020-W53;CH033;Y55T59;M;P;1
2020-W53;CH033;Y60T64;T;P;6
2020-W53;CH033;Y60T64;F;P;1
2020-W53;CH033;Y60T64;M;P;5
2020-W53;CH033;Y65T69;T;P;8
2020-W53;CH033;Y65T69;F;P;2
2020-W53;CH033;Y65T69;M;P;6
2020-W53;CH033;Y70T74;T;P;9
2020-W53;CH033;Y70T74;F;P;5
2020-W53;CH033;Y70T74;M;P;4
2020-W53;CH033;Y75T79;T;P;9
2020-W53;CH033;Y75T79;F;P;5
2020-W53;CH033;Y75T79;M;P;4
2020-W53;CH033;Y80T84;T;P;28
2020-W53;CH033;Y80T84;F;P;14
2020-W53;CH033;Y80T84;M;P;14
2020-W53;CH033;Y85T89;T;P;36
2020-W53;CH033;Y85T89;F;P;15
2020-W53;CH033;Y85T89;M;P;21
2020-W53;CH033;Y_GE90;T;P;43
2020-W53;CH033;Y_GE90;F;P;30
2020-W53;CH033;Y_GE90;M;P;13
2020-W53;CH040;_T;T;P;307
2020-W53;CH040;_T;F;P;178
2020-W53;CH040;_T;M;P;129
2020-W53;CH040;Y25T29;T;P;1
2020-W53;CH040;Y25T29;M;P;1
2020-W53;CH040;Y30T34;T;P;1
2020-W53;CH040;Y30T34;M;P;1
2020-W53;CH040;Y35T39;T;P;1
2020-W53;CH040;Y35T39;M;P;1
2020-W53;CH040;Y40T44;T;P;1
2020-W53;CH040;Y40T44;M;P;1
2020-W53;CH040;Y45T49;T;P;1
2020-W53;CH040;Y45T49;F;P;1
2020-W53;CH040;Y50T54;T;P;6
2020-W53;CH040;Y50T54;F;P;3
2020-W53;CH040;Y50T54;M;P;3
2020-W53;CH040;Y55T59;T;P;8
2020-W53;CH040;Y55T59;F;P;3
2020-W53;CH040;Y55T59;M;P;5
2020-W53;CH040;Y60T64;T;P;11
2020-W53;CH040;Y60T64;F;P;5
2020-W53;CH040;Y60T64;M;P;6
2020-W53;CH040;Y65T69;T;P;7
2020-W53;CH040;Y65T69;F;P;5
2020-W53;CH040;Y65T69;M;P;2
2020-W53;CH040;Y70T74;T;P;14
2020-W53;CH040;Y70T74;F;P;4
2020-W53;CH040;Y70T74;M;P;10
2020-W53;CH040;Y75T79;T;P;35
2020-W53;CH040;Y75T79;F;P;14
2020-W53;CH040;Y75T79;M;P;21
2020-W53;CH040;Y80T84;T;P;36
