"TIME_PERIOD";"GEO";"AGE";"SEX";"OBS_STATUS";"OBS_VALUE"
"2021-W01";"CH021";"Y20T24";"F";"P";1
"2021-W01";"CH021";"Y25T29";"T";"P";1
"2021-W01";"CH021";"Y25T29";"M";"P";1
"2021-W01";"CH021";"Y45T49";"T";"P";2
"2021-W01";"CH021";"Y45T49";"M";"P";2
"2021-W01";"CH021";"Y50T54";"T";"P";4
"2021-W01";"CH021";"Y50T54";"F";"P";2
"2021-W01";"CH021";"Y50T54";"M";"P";2
"2021-W01";"CH021";"Y55T59";"T";"P";6
"2021-W01";"CH021";"Y55T59";"F";"P";3
"2021-W01";"CH021";"Y55T59";"M";"P";3
"2021-W01";"CH021";"Y60T64";"T";"P";5
"2021-W01";"CH021";"Y60T64";"F";"P";3
"2021-W01";"CH021";"Y60T64";"M";"P";2
"2021-W01";"CH021";"Y65T69";"T";"P";10
"2021-W01";"CH021";"Y65T69";"F";"P";2
"2021-W01";"CH021";"Y65T69";"M";"P";8
"2021-W01";"CH021";"Y70T74";"T";"P";20
"2021-W01";"CH021";"Y70T74";"F";"P";7
"2021-W01";"CH021";"Y70T74";"M";"P";13
"2021-W01";"CH021";"Y75T79";"T";"P";34
"2021-W01";"CH021";"Y75T79";"F";"P";9
"2021-W01";"CH021";"Y75T79";"M";"P";25
"2021-W01";"CH021";"Y80T84";"T";"P";48
"2021-W01";"CH021";"Y80T84";"F";"P";19
"2021-W01";"CH021";"Y80T84";"M";"P";29
"2021-W01";"CH021";"Y85T89";"T";"P";49
"2021-W01";"CH021";"Y85T89";"F";"P";19
"2021-W01";"CH021";"Y85T89";"M";"P";30
"2021-W01";"CH021";"Y_GE90";"T";"P";79
"2021-W01";"CH021";"Y_GE90";"F";"P";50
"2021-W01";"CH021";"Y_GE90";"M";"P";29
"2021-W01";"CH022";"_T";"T";"P";45
"2021-W01";"CH022";"_T";"F";"P";23
"2021-W01";"CH022";"_T";"M";"P";22
"2021-W01";"CH022";"Y50T54";"T";"P";1
"2021-W01";"CH022";"Y50T54";"M";"P";1
"2021-W01";"CH022";"Y55T59";"T";"P";2
"2021-W01";"CH022";"Y55T59";"F";"P";2
"2021-W01";"CH022";"Y65T69";"T";"P";7
"2021-W01";"CH022";"Y65T69";"F";"P";1
"2021-W01";"CH022";"Y65T69";"M";"P";6
"2021-W01";"CH022";"Y70T74";"T";"P";4
"2021-W01";"CH022";"Y70T74";"F";"P";1
"2021-W01";"CH022";"Y70T74";"M";"P";3
"2021-W01";"CH022";"Y75T79";"T";"P";4
"2021-W01";"CH022";"Y75T79";"F";"P";2
"2021-W01";"CH022";"Y75T79";"M";"P";2
"2021-W01";"CH022";"Y80T84";"T";"P";8
"2021-W01";"CH022";"Y80T84";"F";"P";3
"2021-W01";"CH022";"Y80T84";"M";"P";5
"2021-W01";"CH022";"Y85T89";"T";"P";10
"2021-W01";"CH022";"Y85T89";"F";"P";6
"2021-W01";"CH022";"Y85T89";"M";"P";4
"2021-W01";"CH022";"Y_GE90";"T";"P";9
"2021-W01";"CH022";"Y_GE90";"F";"P";8
"2021-W01";"CH022";"Y_GE90";"M";"P";1
"2021-W01";"CH023";"_T";"T";"P";83
"2021-W01";"CH023";"_T";"F";"P";45
"2021-W01";"CH023";"_T";"M";"P";38
"2021-W01";"CH023";"Y30T34";"T";"P";1
"2021-W01";"CH023";"Y30T34";"F";"P";1
"2021-W01";"CH023";"Y35T39";"T";"P";1
"2021-W01";"CH023";"Y35T39";"M";"P";1
