TIME_PERIOD;GEO;AGE;SEX;OBS_STATUS;OBS_VALUE
2022-W01;CH025;Y65T69;M;P;1
2022-W01;CH025;Y70T74;T;P;1
2022-W01;CH025;Y70T74;M;P;1
2022-W01;CH025;Y75T79;T;P;3
2022-W01;CH025;Y75T79;F;P;2
2022-W01;CH025;Y75T79;M;P;1
2022-W01;CH025;Y80T84;T;P;3
2022-W01;CH025;Y80T84;F;P;2
2022-W01;CH025;Y80T84;M;P;1
2022-W01;CH025;Y85T89;T;P;3
2022-W01;CH025;Y85T89;F;P;1
2022-W01;CH025;Y85T89;M;P;2
2022-W01;CH025;Y_GE90;T;P;6
2022-W01;CH025;Y_GE90;F;P;1
2022-W01;CH025;Y_GE90;M;P;5
2022-W01;CH031;_T;T;P;36
2022-W01;CH031;_T;F;P;18
2022-W01;CH031;_T;M;P;18
2022-W01;CH031;Y40T44;T;P;1
2022-W01;CH031;Y40T44;M;P;1
2022-W01;CH031;Y45T49;T;P;1
2022-W01;CH031;Y45T49;M;P;1
2022-W01;CH031;Y55T59;T;P;1
2022-W01;CH031;Y55T59;M;P;1
2022-W01;CH031;Y70T74;T;P;1
2022-W01;CH031;Y70T74;M;P;1
2022-W01;CH031;Y75T79;T;P;6
2022-W01;CH031;Y75T79;F;P;3
2022-W01;CH031;Y75T79;M;P;3
2022-W01;CH031;Y80T84;T;P;2
2022-W01;CH031;Y80T84;M;P;2
2022-W01;CH031;Y85T89;T;P;3
2022-W01;CH031;Y85T89;F;P;3
2022-W01;CH031;Y_GE90;T;P;21
2022-W01;CH031;Y_GE90;F;P;12
2022-W01;CH031;Y_GE90;M;P;9
2022-W01;CH032;_T;T;P;63
2022-W01;CH032;_T;F;P;37
2022-W01;CH032;_T;M;P;26
2022-W01;CH032;Y45T49;T;P;3
2022-W01;CH032;Y45T49;F;P;1
2022-W01;CH032;Y45T49;M;P;2
2022-W01;CH032;Y50T54;T;P;1
2022-W01;CH032;Y50T54;F;P;1
2022-W01;CH032;Y55T59;T;P;2
2022-W01;CH032;Y55T59;F;P;1
2022-W01;CH032;Y55T59;M;P;1
2022-W01;CH032;Y70T74;T;P;3
2022-W01;CH032;Y70T74;F;P;2
2022-W01;CH032;Y70T74;M;P;1
2022-W01;CH032;Y75T79;T;P;2
2022-W01;CH032;Y75T79;F;P;2
2022-W01;CH032;Y80T84;T;P;9
2022-W01;CH032;Y80T84;F;P;6
2022-W01;CH032;Y80T84;M;P;3
2022-W01;CH032;Y85T89;T;P;15
2022-W01;CH032;Y85T89;F;P;6
2022-W01;CH032;Y85T89;M;P;9
2022-W01;CH032;Y_GE90;T;P;28
2022-W01;CH032;Y_GE90;F;P;18
2022-W01;CH032;Y_GE90;M;P;10
2022-W01;CH033;_T;T;P;99
2022-W01;CH033;_T;F;P;48
2022-W01;CH033;_T;M;P;51
