"id","title","value","link","group"
"50","Die Covid-19-Pandemie – bisherige Erkenntnisse und Empfehlungen für das weitere Vorgehen","1","","Hessisches Ärzteblatt"
"51","Hessisches Ärzteblatt","2","","Hessisches Ärzteblatt"
"52","Privilegien oder Grundrechte?","1","https://www.dieostschweiz.ch/artikel/privilegien-oder-grundrechte-OQoKr5O","Die Ostschweiz"
"53","Streit um PCR-Test: Drosten soll vor Gericht ein weiteres Gutachten einreichen","1","https://www.tichyseinblick.de/daili-es-sentials/streit-um-pcr-test-drosten-soll-vor-gericht-ein-weiteres-gutachten-einreichen/","Tichys Einblick"
"54","Tichys Einblick","26","","Tichys Einblick"
"55","„Ein weltweites mafiöses Verbrechen“: Heiko Schöning über die Hintergründe unserer Zeit","1","https://auf1.tv/stefan-magnet-auf1/ein-weltweites-mafioeses-verbrechen-heiko-schoening-ueber-die-hintergruende-unserer-zeit/","AUF1.TV"
"56","AUF1.TV","1","","AUF1.TV"
"57","Das Phantom-Virus","1","https://www.rubikon.news/artikel/das-phantom-virus","Rubikon"
"58","USA: Über 30 Bundesstaaten schaffen Maskenpflicht ab","1","https://de.rt.com/nordamerika/118210-usa-uber-30-bundesstaaten-schaffen/","RT DE"
"59","Für die Saison untypische RS-Virus-Infektionen bei Kindern in der Schweiz","1","https://corona-transition.org/fur-die-saison-untypische-rs-virus-infektionen-bei-kindern-in-der-schweiz","Corona Transition"
"60","Wenn sich Politiker in Zeiten von Corona Rat von Spitzenwissenschaftlern holen","1","https://www.meinbezirk.at/niederoesterreich/c-politik/wenn-sich-politiker-in-zeiten-von-corona-rat-von-spitzenwissenschaftlern-holen_a4259940","meinbezirk.at"
"61","meinbezirk.at","2","","meinbezirk.at"
"62","Privilegien für Geimpfte? Bundesrat steht vor heiklem Entscheid","1","https://www.nzz.ch/schweiz/privilegien-fuer-geimpfte-bundesrat-steht-vor-heiklem-entscheid-ld.1602398","NZZ"
"63","Erschreckend: so schaden die Corona Maßnahmen – 16% der Kinder mit suizidalen Gedanken","1","https://tkp.at/2021/03/07/erschreckend-so-schaden-die-corona-massnahmen-16-der-kinder-mit-suizidalen-gedanken/","tp - Science & Technology"
"64","Aktualisierter Cochrane Review bewertet Zuverlässigkeit von Schnelltests zum Nachweis von COVID-19","1","https://www.cochrane.de/de/news/aktualisierter-cochrane-review-bewertet-zuverl%C3%A4ssigkeit-von-schnelltests-zum-nachweis-von-covid","cochrane"
"65","cochrane","1","","cochrane"
"66","Japan: Mehr Tote durch Suizide pro Monat als durch COVID-19 pro Jahr","1","https://de.rt.com/gesellschaft/109888-japan-mehr-tote-wegen-selbstmorde/","RT DE"
"67","„Bis zu 85 Prozent der Covid-Todesfälle hätten verhindert werden können“","1","https://reitschuster.de/post/bis-zu-85-prozent-der-covid-todesfaelle-haetten-verhindert-werden-koennen/","reitschuster"
"68","Bhakdi: Masken für Schüler sind Kindsmisshandlung","1","https://www.reitschuster.de/post/bhakdi-masken-fuer-schueler-sind-kindsmisshandlung/","reitschuster"
"69","Studie zum Ursprung der Coronavirus-Pandemie","1","","ResearchGate"
"70","ResearchGate","1","","ResearchGate"
"71","Dieser Lockdown funktioniert nur, wenn man das logische Denken sein lässt","1","https://www.welt.de/politik/deutschland/plus218861244/Dieser-Lockdown-funktioniert-nur-wenn-man-das-logische-Denken-sein-laesst.html","Die Welt"
"72","Die Welt","61","","Die Welt"
"73","Die ""dritte Welle"": Virusmutation oder verschwiegenes Impfrisiko?","1","https://multipolar-magazin.de/artikel/die-dritte-welle-impfrisiko","multipolar"
"74","Britischer Gesundheitsminister: Lockdowns verursachen Todesfälle","1","https://tkp.at/2021/07/06/britischer-gesundheitsminister-lockdowns-verursachen-todesfaelle/","tp - Science & Technology"
"75","Israelische und europäische Experten: Corona-Impfung könnte COVID-19-Varianten hervorrufen","1","https://www.epochtimes.de/meinung/gastkommentar/israelische-und-europaeische-experten-corona-impfung-koennte-covid-19-varianten-hervorrufen-a3549957.html","Epoch Times"
"76","Immer wieder Berichte über Todesfälle in Heimen nach Impfung – Offizielle sehen keinen Zusammenhang","1","https://de.rt.com/inland/112776-immer-wieder-berichte-ueber-todesfalle-in-heimen-nach-impfung/","RT DE"
"77","Gesichtsmasken sind voll von Bakterien und Pilzen","1","https://www.ktipp.ch/artikel/artikeldetail/gesichtsmasken-sind-voll-von-bakterien-und-pilzen/","Ktipp"
"78","Ktipp","6","","Ktipp"
