"id","title","value","link","group"
"119","Gerhard Scheuch: ""Großteil der Maßnahmen völlig wirkungslos""","1","https://www.tichyseinblick.de/meinungen/gerhard-scheuch-grossteil-der-massnahmen-voellig-wirkungslos/","Tichys Einblick"
"120","Biontech-Pfizer plant Studie zur Wirkung einer dritten Corona-Impfdosis","1","https://www.epochtimes.de/wissen/forschung/biontech-pfizer-studie-zur-wirkung-einer-dritten-dosis-a3457069.html","Epoch Times"
"121","Rasanter Anstieg der Impf-Nebenwirkungen in ganz Europa","1","https://reitschuster.de/post/rasanter-anstieg-der-impf-nebenwirkungen-in-ganz-europa/","reitschuster"
"122","ema","22","","ema"
"123","Wiener Gericht: «Fallzahlen sind für Demo-Verbot irrelevant»","1","https://www.infosperber.ch/gesundheit/public-health/wiener-gericht-fallzahlen-sind-fuer-demo-verbot-irrelevant/","INFOsperber"
"124","Stumme Schreie","1","https://www.rubikon.news/artikel/stumme-schreie","Rubikon"
"125","Impfexperte zu AstraZeneca-Stopp: ""Das ist ein Mega-GAU""","1","https://reitschuster.de/post/impfexperte-zu-astrazeneca-stopp-das-ist-ein-mega-gau/","reitschuster"
"126","Rettungsmann berichtet: Immer mehr Jugendliche töten sich selbst","1","https://www.wochenblick.at/rettungsmann-berichtet-immer-mehr-jugendliche-toeten-sich-selbst/","Wochenblick"
"127","Extreme Meldefehler bei Coronatests","1","https://www.wochenblick.at/extreme-meldefehler-bei-coronatests/","Wochenblick"
"128","Brutale Lockdown-Last: Jeder sechste Schüler denkt an Selbstmord","1","https://www.wochenblick.at/brutale-lockdown-last-jeder-sechste-schueler-denkt-an-selbstmord/","Wochenblick"
"129","RKI bestätigt: COVID-19-Erkrankte unter Positiv-Getesteten werden nicht übermittelt","1","https://www.epochtimes.de/politik/deutschland/rki-studie-maengelbehaftet-covid-19-erkrankte-werden-nicht-gemeldet-a3459595.html","Epoch Times"
"130","Corona-Massentests in Schulen: „Das darf man den Kindern nicht antun”","1","https://www.nordkurier.de/politik-und-wirtschaft/das-darf-man-den-kindern-nicht-antun-0642676503.html","Nordkurier"
"131","Gefährlicher Maskenwahn: Millionenfache Körperverletzung und Müllberge","1","https://www.wochenblick.at/gefaehrlicher-maskenwahn-millionenfache-koerperverletzung-und-muellberge/","Wochenblick"
"132","Der Corona-Zirkus startet erneut: Israel verhängt Maßnahmen - auch für Geimpfte","1","https://report24.news/der-corona-zirkus-startet-erneut-israel-verhaengt-massnahmen-auch-fuer-geimpfte/","Report24"
"133","Grippe war für Ältere stets eine Gefahr ","1","https://www.ktipp.ch/artikel/artikeldetail/grippe-war-fuer-aeltere-stets-eine-gefahr/","Ktipp"
"134","Reverse-transcribed SARS-CoV-2 RNA can integrate into the genome of cultured human cells and can be expressed in patient-derived tissues","1","https://www.pnas.org/content/118/21/e2105968118","PNAS"
"135","pnas","2","","pnas"
"136","Corona und Psychologie: Angst arbeitet dem demokratischen Miteinander entgegen","1","https://www.nachdenkseiten.de/?p=69176","NachDenkSeiten"
"137","angst","46","","angst"
"138","demokratie","37","","demokratie"
"139","Corona-Ausbruch in Heim: Mehrere Ungeimpfte tot, aber auch viele Geimpfte infiziert","1","https://www.focus.de/regional/bayern/in-bayern-ausbruch-in-altenheim-leiter-ratlos-infizierte-senioren-waren-zweimal-geimpft_id_13207084.html","Focus Online"
"140","Wer besondere Gründe hat – muss keine Maske tragen","1","https://corona-transition.org/maskentragen-ist-freiwillig-und-das-zahlen-von-bussen-ebenso","Corona Transition"
"141","«Pfizer-Impfung ist viel weniger wirksam» – keine Transparenz","1","https://www.infosperber.ch/gesundheit/public-health/die-pfizer-impfung-ist-viel-weniger-wirksam-keine-transparenz/","INFOsperber"
"142","Schaden durch Lockdown mindestens um das Fünffache höher als sein Nutzen – Studienüberblick","1","https://sciencefiles.org/2021/01/11/schaden-durch-lockdown-mindestens-um-das-funffache-hoher-als-sein-nutzen-studienuberblick/","ScienceFiles"
"143","Besorgniserregend: Fast 1.800 Personen in Köln nach Impfung infiziert","1","https://www.wochenblick.at/besorgniserregend-fast-1-800-personen-in-koeln-nach-impfung-infiziert/","Wochenblick"
"144","Geschäftsmodell „Lockdown und Impfen“: Rekordzahl von Milliardären","1","https://www.wochenblick.at/geschaeftsmodell-lockdown-und-impfen-rekordzahl-von-milliardaeren/","Wochenblick"
"145","Wirtschaft","38","","Wirtschaft"
"146","Das SPARS-Manuskript — die Generalprobe für das Pandemie-Theater?","1","https://corona-transition.org/das-spars-manuskript-die-generalprobe-fur-das-pandemie-theater","Corona Transition"
"147","spars","1","","spars"
"148","Unwissenschaftlich: RKI behauptet, dass Geimpfte keine Überträger sind","1","https://2020news.de/unwissenschaftlich-rki-behauptet-dass-geimpfte-keine-uebertraeger-sind/","2020 News"
"149","Verordnete Angst: Was an der Corona-Hysterie wirklich gefährlich ist","1","https://www.wochenblick.at/verordnete-angst-was-an-der-corona-hysterie-wirklich-gefaehrlich-ist/","Wochenblick"
"150","Mutanten-Babys? Wissenschafts-Papier zeigt erschreckende Impf-Risiken","1","https://www.wochenblick.at/mutanten-babys-wissenschafts-papier-zeigt-erschreckende-impf-risiken/","Wochenblick"
"151","Ergebnisse allein ungeeignet als Grundlage für Pandemie-Maßnahmen","1","https://www.uni-due.de/2021-06-18-studie-aussagekraft-von-pcr-tests","Universität Duisburg-Essen"
"152","Immunitätsausweis ohne klare Gültigkeitsdauer","1","https://www.heise.de/tp/features/Immunitaetsausweis-ohne-klare-Gueltigkeitsdauer-6026609.html","Telepolis"
"153","Pfizer Zulassung in USA für Jugendliche: Nebenwirkungen bei bis zu 90%","1","https://tkp.at/2021/05/21/pfizer-zulassung-in-usa-fuer-jugendliche-nebenwirkungen-bei-bis-zu-90/","tp - Science & Technology"
"154","SARS-CoV-2: Ein riesengroßes Lügengebäude oder: Die Ideologie frisst ihre Lügner","1","https://sciencefiles.org/2021/06/02/sars-cov-2-ein-riesengroses-lugengebaude-oder-die-ideologie-frisst-ihre-lugner/","ScienceFiles"
"155","""Irrweg"": Deutsche Impfkommission gegen generelle Kinderimpfung","1","https://www.wochenblick.at/irrweg-deutsche-impfkommission-gegen-generelle-kinderimpfung/","Wochenblick"
"156","stiko","11","","stiko"
"157","Experte lässt aufhorchen: Mundspülung könnte gegen Corona vorbeugen","1","https://www.wochenblick.at/experte-laesst-aufhorchen-mundspuelung-koennte-gegen-corona-vorbeugen/","Wochenblick"
"158","Krass! Jede 5. Beiz ist schon pleite","1","https://linth24.ch/articles/55404-krass-jede-5-beiz-ist-schon-pleite","linth24"
"159","Wachrüttelnder Brief eines Polizisten an die Bevölkerung","1","https://corona-blog.net/2021/03/30/wachruettelnder-brief-eines-polizisten-an-die-bevoelkerung/","corona-blog.net"
"160","polizei","39","","polizei"
"161","Bremer Gerichtsurteil: Maskenpflicht an Grundschulen gekippt","1","https://de.rt.com/inland/116360-bremer-gerichtsurteil-maskenpflicht-an-grundschulen/","RT DE"
"162","Tagebuch einer Hinrichtung (2)","1","https://www.achgut.com/artikel/tagebuch_einer_hinrichtung_2_der_schauprozess_2","Achgut.com"
"163","kultur","26","","kultur"
"164","allesdichtmachen","12","","allesdichtmachen"
"165","Wengen virusfrei: Panikmache, Swiss made","1","https://insideparadeplatz.ch/2021/01/25/wengen-virusfrei-panikmache-swiss-made/","In$ide Paradeplatz"
"166","Haager Strafgerichtshof behandelt Klage wegen Verletzung des Nürnberger Kodex durch israelische Regierung und Pfizer","1","https://tkp.at/2021/03/15/haager-strafgerichtshof-behandelt-klage-wegen-verletzung-des-nuernberger-kodex-durch-israelische-regierung-und-pfizer/","tp - Science & Technology"
"167","Neue Timeline ""P(l)andemie""","1","","Timeline"
"168","Amtsgericht Weilheim: Maskenpflicht in der Schule verfassungswidrig","1","https://www.tichyseinblick.de/daili-es-sentials/amtsgericht-weilheim-maskenpflicht-in-der-schule-verfassungswidrig/","Tichys Einblick"
"169","weilheim","5","","weilheim"
"170","Bericht des Israeli People Committee über Todesfälle durch Impfung","1","https://tkp.at/2021/04/22/bericht-des-israeli-people-committee-ueber-todesfaelle-durch-impfung/","tp - Science & Technology"
"171","Der Ethiker Christoph Lütge kritisiert weiterhin den Lockdown","1","https://www.nzz.ch/international/der-ethiker-christoph-luetge-kritisiert-weiterhin-den-lockdown-ld.1601465","NZZ"
"172","Corona USA: Steigende Zahlen im Mittleren Westen – Rätsel Texas","1","https://www.nzz.ch/international/corona-usa-steigende-zahlen-im-mittleren-westen-raetsel-texas-ld.1611809","NZZ"
"173","Brandbrief an Europäischen Gerichtshof – Bayerische Psychologin fordert rechtliches Gehör","1","https://www.epochtimes.de/politik/deutschland/brandbrief-an-europaeischen-gerichtshof-bayerische-psychologin-fordert-rechtliches-gehoer-a3482490.html","Epoch Times"
"174","Die ""95% Wirksamkeit"" der Impfstoffe von Pfizer und Moderna - Zurückhaltung ist geboten, solange wir die vollständigen Daten nicht gesehen haben","1","https://2020news.de/die-95-wirksamkeit-der-impfstoffe-von-pfizer-und-moderna-zurueckhaltung-ist-geboten-solange-wir-die-vollstaendigen-daten-nicht-gesehen-haben/","2020 News"
"175","moderna","17","","moderna"
"176","Lockdown Kills – Explosive Studie zeigt die Wirkungslosigkeit von Lockdowns gegen COVID-19","1","https://sciencefiles.org/2021/04/06/lockdown-kills-explosive-studie-zeigt-die-wirkungslosigkeit-von-lockdowns-gegen-covid-19/","ScienceFiles"
"177","Wissenschaftler warnen: Corona-Studien beruhen auf Modellen, nicht Fakten","1","https://www.wochenblick.at/phantomvirus-chinesisches-cdc-gibt-zu-das-virus-wurde-nicht-isoliert/","Wochenblick"
"178","Aufsatz: Corona-Maßnahmen vor dem Familiengericht – eine ungewöhnliche Entwicklung","1","https://netzwerkkrista.de/2021/04/27/aufsatz-corona-massnahmen-vor-dem-familiengericht-eine-ungewoehnliche-entwicklung/","NetzwerkKRiStA"
"179","netzwerkkrista","4","","netzwerkkrista"
"180","weimar","25","","weimar"
"181","Klare Worte im US-Fernsehen: ""30 Tote pro Tag nach Impfungen""","1","https://report24.news/klare-worte-im-us-fernsehen-30-tote-pro-tag-nach-impfungen/","Report24"
"182","USA: Staaten mit Impfung für College Besuch und Gouverneur verliert Abstimmung über Lockdowns","1","https://tkp.at/2021/05/20/usa-staaten-mit-impfung-fuer-college-besuch-und-gouverneur-verliert-abstimmung-ueber-lockdowns/","tp - Science & Technology"
"183","Kein Ende der Pandemie: Die Impfung entfesselt das Virus","1","https://www.wochenblick.at/kein-ende-der-pandemie-die-impfung-entfesselt-das-virus/","Wochenblick"
"184","Impfen gegen Mutanten?","1","https://www.achgut.com/artikel/impfen_gegen_mutanten","Achgut.com"
"185","Kinderspital Zürich: Anstieg bei Suizidversuchen wegen Pandemie","1","https://nzzas.nzz.ch/hintergrund/kinderspital-zuerich-stellt-anstieg-bei-suizidversuchen-fest-ld.1611236","NZZ"
"186","Intensivstationen: „Wirklich dramatisch ist die Lage derzeit nicht“","1","https://www.welt.de/wissenschaft/article230571345/Intensivstationen-Wirklich-dramatisch-ist-die-Lage-derzeit-nicht.html","Die Welt"
"187","Alle ins Homeoffice: Schweiz am Durchdrehen","1","https://insideparadeplatz.ch/2021/01/07/alle-ins-homeoffice-schweiz-am-durchdrehen/","In$ide Paradeplatz"
"188","Nur ein kleiner Pieks - und das wunderschöne 18-jährige Mädchen starb","1","https://report24.news/nur-ein-kleiner-pieks-und-das-wunderschoene-18-jaehrige-maedchen-starb/","Report24"
