from,to,title,group,value
3,223,RT DE,2021,2
109,224,Berliner Zeitung,Berliner Zeitung,2
3,224,Berliner Zeitung,2021,2
19,225,Epoch Times,Epoch Times,2
3,225,Epoch Times,2021,2
37,226,Corona Transition,Corona Transition,2
3,226,Corona Transition,2021,2
19,227,Epoch Times,Epoch Times,2
3,227,Epoch Times,2021,2
2,228,ScienceFiles,ScienceFiles,2
3,228,ScienceFiles,2021,2
230,229,ARD,ARD,2
11,229,ARD,2020,2
49,231,reitschuster,reitschuster,2
3,231,reitschuster,2021,2
19,232,Epoch Times,Epoch Times,2
3,232,Epoch Times,2021,2
19,233,Epoch Times,Epoch Times,2
3,233,Epoch Times,2021,2
6,234,tp - Science & Technology,tp - Science & Technology,2
3,234,tp - Science & Technology,2021,2
37,235,Corona Transition,Corona Transition,2
3,235,Corona Transition,2021,2
19,236,Epoch Times,Epoch Times,2
3,236,Epoch Times,2021,2
41,237,Report24,Report24,2
3,237,Report24,2021,2
39,238,multipolar,multipolar,2
3,238,multipolar,2021,2
240,239,Aletheia,Aletheia,2
3,239,Aletheia,2021,2
10,241,Wochenblick,Wochenblick,2
3,241,Wochenblick,2021,2
131,242,linth24,linth24,2
3,242,linth24,2021,2
121,243,Unser Mitteleuropa,Unser Mitteleuropa,2
3,243,Unser Mitteleuropa,2021,2
245,244,EbM Netzwerk,EbM Netzwerk,2
11,244,EbM Netzwerk,2020,2
8,246,RT DE,RT DE,2
3,246,RT DE,2021,2
37,247,Corona Transition,Corona Transition,2
3,247,Corona Transition,2021,2
249,248,NDR,NDR,2
3,248,NDR,2021,2
80,250,INFOsperber,INFOsperber,2
3,250,INFOsperber,2021,2
49,251,reitschuster,reitschuster,2
11,251,reitschuster,2020,2
253,252,Swiss Policy Research,Swiss Policy Research,2
3,252,Swiss Policy Research,2021,2
10,254,Wochenblick,Wochenblick,2
3,254,Wochenblick,2021,2
2,255,ScienceFiles,ScienceFiles,2
3,255,ScienceFiles,2021,2
13,256,Achgut.com,Achgut.com,2
3,256,Achgut.com,2021,2
6,257,tp - Science & Technology,tp - Science & Technology,2
3,257,tp - Science & Technology,2021,2
27,258,Die Ostschweiz,Die Ostschweiz,2
3,258,Die Ostschweiz,2021,2
13,259,Achgut.com,Achgut.com,2
11,259,Achgut.com,2020,2
10,260,Wochenblick,Wochenblick,2
3,260,Wochenblick,2021,2
46,261,NZZ,NZZ,2
11,261,NZZ,2020,2
263,262,Langemann Medien,Langemann Medien,2
11,262,Langemann Medien,2020,2
265,264,Uncut-News,Uncut-News,2
3,264,Uncut-News,2021,2
10,266,Wochenblick,Wochenblick,2
11,266,Wochenblick,2020,2
268,267,SRF,SRF,2
3,267,SRF,2021,2
220,269,ZE!TPUNKT,ZE!TPUNKT,2
11,269,ZE!TPUNKT,2020,2
145,270,Nordkurier,Nordkurier,2
3,270,Nordkurier,2021,2
253,271,Swiss Policy Research,Swiss Policy Research,2
3,271,Swiss Policy Research,2021,2
10,272,Wochenblick,Wochenblick,2
3,272,Wochenblick,2021,2
10,273,Wochenblick,Wochenblick,2
3,273,Wochenblick,2021,2
37,274,Corona Transition,Corona Transition,2
3,274,Corona Transition,2021,2
37,275,Corona Transition,Corona Transition,2
3,275,Corona Transition,2021,2
6,276,tp - Science & Technology,tp - Science & Technology,2
3,276,tp - Science & Technology,2021,2
72,277,Die Welt,Die Welt,2
3,277,Die Welt,2021,2
2,278,ScienceFiles,ScienceFiles,2
11,278,ScienceFiles,2020,2
72,279,Die Welt,Die Welt,2
11,279,Die Welt,2020,2
8,280,RT DE,RT DE,2
11,280,RT DE,2020,2
8,281,RT DE,RT DE,2
3,281,RT DE,2021,2
220,282,ZE!TPUNKT,ZE!TPUNKT,2
3,282,ZE!TPUNKT,2021,2
268,283,SRF,SRF,2
11,283,SRF,2020,2
6,284,tp - Science & Technology,tp - Science & Technology,2
3,284,tp - Science & Technology,2021,2
286,285,Swissmedic,Swissmedic,2
3,285,Swissmedic,2021,2
288,287,Deutsches Ärzteblatt,Deutsches Ärzteblatt,2
11,287,Deutsches Ärzteblatt,2020,2
54,289,Tichys Einblick,Tichys Einblick,2
3,289,Tichys Einblick,2021,2
37,290,Corona Transition,Corona Transition,2
3,290,Corona Transition,2021,2
292,291,ArcGIS,ArcGIS,2
11,291,ArcGIS,2020,2
294,293,mdr,mdr,2
3,293,mdr,2021,2
131,295,linth24,linth24,2
3,295,linth24,2021,2
49,296,reitschuster,reitschuster,2
3,296,reitschuster,2021,2
19,297,Epoch Times,Epoch Times,2
11,297,Epoch Times,2020,2
49,298,reitschuster,reitschuster,2
3,298,reitschuster,2021,2
19,299,Epoch Times,Epoch Times,2
3,299,Epoch Times,2021,2
6,300,tp - Science & Technology,tp - Science & Technology,2
3,300,tp - Science & Technology,2021,2
16,301,Rubikon,Rubikon,2
11,301,Rubikon,2020,2
30,302,NachDenkSeiten,NachDenkSeiten,2
11,302,NachDenkSeiten,2020,2
27,303,Die Ostschweiz,Die Ostschweiz,2
3,303,Die Ostschweiz,2021,2
109,304,Berliner Zeitung,Berliner Zeitung,2
11,304,Berliner Zeitung,2020,2
306,305,The Pirbright Institute,The Pirbright Institute,2
307,305,The Pirbright Institute,2019,2
37,308,Corona Transition,Corona Transition,2
3,308,Corona Transition,2021,2
19,309,Epoch Times,Epoch Times,2
3,309,Epoch Times,2021,2
10,310,Wochenblick,Wochenblick,2
11,310,Wochenblick,2020,2
265,311,Uncut-News,Uncut-News,2
3,311,Uncut-News,2021,2
313,312,tagblatt.ch,tagblatt.ch,2
3,312,tagblatt.ch,2021,2
10,314,Wochenblick,Wochenblick,2
3,314,Wochenblick,2021,2
84,315,2020 News,2020 News,2
3,315,2020 News,2021,2
94,316,substack.com,substack.com,2
11,316,substack.com,2020,2
27,317,Die Ostschweiz,Die Ostschweiz,2
3,317,Die Ostschweiz,2021,2
19,318,Epoch Times,Epoch Times,2
3,318,Epoch Times,2021,2
92,319,Focus Online,Focus Online,2
3,319,Focus Online,2021,2
37,320,Corona Transition,Corona Transition,2
11,320,Corona Transition,2020,2
10,321,Wochenblick,Wochenblick,2
3,321,Wochenblick,2021,2
6,322,tp - Science & Technology,tp - Science & Technology,2
11,322,tp - Science & Technology,2020,2
37,323,Corona Transition,Corona Transition,2
3,323,Corona Transition,2021,2
49,324,reitschuster,reitschuster,2
3,324,reitschuster,2021,2
326,325,AerzteZeitung,AerzteZeitung,2
3,325,AerzteZeitung,2021,2
328,327,SWR,SWR,2
3,327,SWR,2021,2
43,329,medinside.ch,medinside.ch,2
3,329,medinside.ch,2021,2
131,330,linth24,linth24,2
3,330,linth24,2021,2
8,331,RT DE,RT DE,2
11,331,RT DE,2020,2
2,332,ScienceFiles,ScienceFiles,2
3,332,ScienceFiles,2021,2
19,333,Epoch Times,Epoch Times,2
3,333,Epoch Times,2021,2
37,334,Corona Transition,Corona Transition,2
3,334,Corona Transition,2021,2
54,335,Tichys Einblick,Tichys Einblick,2
3,335,Tichys Einblick,2021,2
84,336,2020 News,2020 News,2
11,336,2020 News,2020,2
27,337,Die Ostschweiz,Die Ostschweiz,2
11,337,Die Ostschweiz,2020,2
10,338,Wochenblick,Wochenblick,2
3,338,Wochenblick,2021,2
92,339,Focus Online,Focus Online,2
3,339,Focus Online,2021,2
2,340,ScienceFiles,ScienceFiles,2
3,340,ScienceFiles,2021,2
326,341,AerzteZeitung,AerzteZeitung,2
3,341,AerzteZeitung,2021,2
263,342,Langemann Medien,Langemann Medien,2
11,342,Langemann Medien,2020,2
72,343,Die Welt,Die Welt,2
3,343,Die Welt,2021,2
10,344,Wochenblick,Wochenblick,2
3,344,Wochenblick,2021,2
346,345,Honk for Hope,Honk for Hope,2
11,345,Honk for Hope,2020,2
16,347,Rubikon,Rubikon,2
3,347,Rubikon,2021,2
94,348,substack.com,substack.com,2
11,348,substack.com,2020,2
350,349,kenFM,kenFM,2
3,349,kenFM,2021,2
16,351,Rubikon,Rubikon,2
11,351,Rubikon,2020,2
19,352,Epoch Times,Epoch Times,2
3,352,Epoch Times,2021,2
8,353,RT DE,RT DE,2
3,353,RT DE,2021,2
27,354,Die Ostschweiz,Die Ostschweiz,2
11,354,Die Ostschweiz,2020,2
82,355,In$ide Paradeplatz,In$ide Paradeplatz,2
3,355,In$ide Paradeplatz,2021,2
121,356,Unser Mitteleuropa,Unser Mitteleuropa,2
3,356,Unser Mitteleuropa,2021,2
358,357,Jouwatch,Jouwatch,2
3,357,Jouwatch,2021,2
99,359,Telepolis,Telepolis,2
3,359,Telepolis,2021,2
8,360,RT DE,RT DE,2
3,360,RT DE,2021,2
121,361,Unser Mitteleuropa,Unser Mitteleuropa,2
3,361,Unser Mitteleuropa,2021,2
99,362,Telepolis,Telepolis,2
3,362,Telepolis,2021,2
13,363,Achgut.com,Achgut.com,2
3,363,Achgut.com,2021,2
2,364,ScienceFiles,ScienceFiles,2
3,364,ScienceFiles,2021,2
49,365,reitschuster,reitschuster,2
3,365,reitschuster,2021,2
92,366,Focus Online,Focus Online,2
11,366,Focus Online,2020,2
368,367,odysee,odysee,2
3,367,odysee,2021,2
6,369,tp - Science & Technology,tp - Science & Technology,2
3,369,tp - Science & Technology,2021,2
54,370,Tichys Einblick,Tichys Einblick,2
3,370,Tichys Einblick,2021,2
92,371,Focus Online,Focus Online,2
3,371,Focus Online,2021,2
288,372,Deutsches Ärzteblatt,Deutsches Ärzteblatt,2
11,372,Deutsches Ärzteblatt,2020,2
183,373,corona-blog.net,corona-blog.net,2
3,373,corona-blog.net,2021,2
375,374,Vera Lengsfeld,Vera Lengsfeld,2
3,374,Vera Lengsfeld,2021,2
99,376,Telepolis,Telepolis,2
11,376,Telepolis,2020,2
80,377,INFOsperber,INFOsperber,2
11,377,INFOsperber,2020,2
268,378,SRF,SRF,2
11,378,SRF,2020,2
54,379,Tichys Einblick,Tichys Einblick,2
3,379,Tichys Einblick,2021,2
16,380,Rubikon,Rubikon,2
3,380,Rubikon,2021,2
19,381,Epoch Times,Epoch Times,2
11,381,Epoch Times,2020,2
16,382,Rubikon,Rubikon,2
3,382,Rubikon,2021,2
10,383,Wochenblick,Wochenblick,2
3,383,Wochenblick,2021,2
6,384,tp - Science & Technology,tp - Science & Technology,2
3,384,tp - Science & Technology,2021,2
43,385,medinside.ch,medinside.ch,2
11,385,medinside.ch,2020,2
13,386,Achgut.com,Achgut.com,2
3,386,Achgut.com,2021,2
16,387,Rubikon,Rubikon,2
11,387,Rubikon,2020,2
19,388,Epoch Times,Epoch Times,2
3,388,Epoch Times,2021,2
2,389,ScienceFiles,ScienceFiles,2
3,389,ScienceFiles,2021,2
27,390,Die Ostschweiz,Die Ostschweiz,2
3,390,Die Ostschweiz,2021,2
19,391,Epoch Times,Epoch Times,2
3,391,Epoch Times,2021,2
13,392,Achgut.com,Achgut.com,2
11,392,Achgut.com,2020,2
10,393,Wochenblick,Wochenblick,2
3,393,Wochenblick,2021,2
49,394,reitschuster,reitschuster,2
3,394,reitschuster,2021,2
8,395,RT DE,RT DE,2
3,395,RT DE,2021,2
397,396,Weltwoche,Weltwoche,2
11,396,Weltwoche,2020,2
10,398,Wochenblick,Wochenblick,2
3,398,Wochenblick,2021,2
400,399,World Economic Forum,World Economic Forum,2
11,399,World Economic Forum,2020,2
402,401,RND,RND,2
3,401,RND,2021,2
288,403,Deutsches Ärzteblatt,Deutsches Ärzteblatt,2
3,403,Deutsches Ärzteblatt,2021,2
8,404,RT DE,RT DE,2
3,404,RT DE,2021,2
80,405,INFOsperber,INFOsperber,2
3,405,INFOsperber,2021,2
27,406,Die Ostschweiz,Die Ostschweiz,2
3,406,Die Ostschweiz,2021,2
6,407,tp - Science & Technology,tp - Science & Technology,2
3,407,tp - Science & Technology,2021,2
84,408,2020 News,2020 News,2
3,408,2020 News,2021,2
2,409,ScienceFiles,ScienceFiles,2
3,409,ScienceFiles,2021,2
411,410,PubMed,PubMed,2
11,410,PubMed,2020,2
49,412,reitschuster,reitschuster,2
3,412,reitschuster,2021,2
19,413,Epoch Times,Epoch Times,2
3,413,Epoch Times,2021,2
41,414,Report24,Report24,2
3,414,Report24,2021,2
84,415,2020 News,2020 News,2
3,415,2020 News,2021,2
84,416,2020 News,2020 News,2
3,416,2020 News,2021,2
8,417,RT DE,RT DE,2
3,417,RT DE,2021,2
10,418,Wochenblick,Wochenblick,2
3,418,Wochenblick,2021,2
420,419,ZDF,ZDF,2
11,419,ZDF,2020,2
30,421,NachDenkSeiten,NachDenkSeiten,2
11,421,NachDenkSeiten,2020,2
2,422,ScienceFiles,ScienceFiles,2
3,422,ScienceFiles,2021,2
2,423,ScienceFiles,ScienceFiles,2
3,423,ScienceFiles,2021,2
145,424,Nordkurier,Nordkurier,2
3,424,Nordkurier,2021,2
10,425,Wochenblick,Wochenblick,2
3,425,Wochenblick,2021,2
2,426,ScienceFiles,ScienceFiles,2
3,426,ScienceFiles,2021,2
358,427,Jouwatch,Jouwatch,2
11,427,Jouwatch,2020,2
429,428,berthub.eu,berthub.eu,2
11,428,berthub.eu,2020,2
46,430,NZZ,NZZ,2
3,430,NZZ,2021,2
19,431,Epoch Times,Epoch Times,2
3,431,Epoch Times,2021,2
10,432,Wochenblick,Wochenblick,2
3,432,Wochenblick,2021,2
240,433,Aletheia,Aletheia,2
3,433,Aletheia,2021,2
10,434,Wochenblick,Wochenblick,2
3,434,Wochenblick,2021,2
436,435,Pharmazeutische Zeitung,Pharmazeutische Zeitung,2
11,435,Pharmazeutische Zeitung,2020,2
37,437,Corona Transition,Corona Transition,2
3,437,Corona Transition,2021,2
37,438,Corona Transition,Corona Transition,2
3,438,Corona Transition,2021,2
8,439,RT DE,RT DE,2
3,439,RT DE,2021,2
27,440,Die Ostschweiz,Die Ostschweiz,2
3,440,Die Ostschweiz,2021,2
16,441,Rubikon,Rubikon,2
11,441,Rubikon,2020,2
84,442,2020 News,2020 News,2
3,442,2020 News,2021,2
6,443,tp - Science & Technology,tp - Science & Technology,2
3,443,tp - Science & Technology,2021,2
10,444,Wochenblick,Wochenblick,2
3,444,Wochenblick,2021,2
446,445,Deutschlandfunk,Deutschlandfunk,2
3,445,Deutschlandfunk,2021,2
6,447,tp - Science & Technology,tp - Science & Technology,2
3,447,tp - Science & Technology,2021,2
6,448,tp - Science & Technology,tp - Science & Technology,2
3,448,tp - Science & Technology,2021,2
450,449,tagesschau.de,tagesschau.de,2
11,449,tagesschau.de,2020,2
2,451,ScienceFiles,ScienceFiles,2
3,451,ScienceFiles,2021,2
43,452,medinside.ch,medinside.ch,2
3,452,medinside.ch,2021,2
19,453,Epoch Times,Epoch Times,2
3,453,Epoch Times,2021,2
13,454,Achgut.com,Achgut.com,2
3,454,Achgut.com,2021,2
10,455,Wochenblick,Wochenblick,2
3,455,Wochenblick,2021,2
19,456,Epoch Times,Epoch Times,2
3,456,Epoch Times,2021,2
41,457,Report24,Report24,2
3,457,Report24,2021,2
72,458,Die Welt,Die Welt,2
3,458,Die Welt,2021,2
37,459,Corona Transition,Corona Transition,2
